Stock Name,,Atlantic mackerel - Gulf of Maine / Cape Hatteras,Haddock - Eastern Georges Bank,Haddock - Georges Bank,Haddock - Gulf of Maine
Description,,SSB,2-Survey Biomass Estimate,SSB_Adj,SSB_Adj
,1962,,,,
,1963,,,,
,1964,,,,
,1965,,,,
,1966,,,,
,1967,,,,
,1968,621759,,,
,1969,854505,,,
,1970,967918,,,
,1971,1042578,,,
,1972,1134034,,,
,1973,814768,,,
,1974,620472,,,
,1975,509803,,,
,1976,377976,,,
,1977,359134,,,9716
,1978,379297,,,13726
,1979,352118,,,15505
,1980,346861,,,14876
,1981,300168,,,14750
,1982,305313,,,14390
,1983,360459,,,10929
,1984,393831,,,7308
,1985,583088,,,5358
,1986,525549,,,2988
,1987,411664,,,1522
,1988,338213,,,1096
,1989,326577,,,799
,1990,258213,,,835
,1991,245469,,,723
,1992,177878,,,679
,1993,158500,,,731
,1994,122523,,,1222
,1995,113974,,,2201
,1996,104193,,,3569
,1997,100988,,,5389
,1998,97210,,,6708
,1999,82218,,,6924
,2000,181497,,,8440
,2001,268593,,,13802
,2002,255991,,,16666
,2003,226488,,,14438
,2004,172130,,,12496
,2005,149476,,,10905
,2006,129322,,,10550
,2007,103390,,,9475
,2008,66969,,,8121
,2009,43732,,,7119
,2010,24001,51.29999924,,5928
,2011,16899,40.40000153,45624,5020
,2012,16837,55.29999924,35501,6215
,2013,18849,101.5999985,83187,9963
,2014,17007,81.5,118415,15575
,2015,24328,149.3999939,202052,34226
,2016,43519,224.3999939,574481,58404
,2017,40190,110.4000015,793125,65397
,2018,47554,74.90000153,507130,82763
,2019,42862,61.09999847,,
,2020,,,,
