Time,her_sp_Estimate,her_sp_SE,her_fa_Estimate,her_fa_SE,her_larv_Estimate,her_larv_SE
1982,7245258663.28889,445603487.610878,4408865859.39763,339570907.706973,5243644569.43773,646768747.687241
1983,10034281714.5239,572479564.151536,4384605380.48667,335723610.225019,4374052043.43868,462523267.908664
1984,9521027243.05838,568998827.07309,4559688557.47078,334577611.805608,4039146136.32007,384513990.294899
1985,6971685259.173,430876293.623945,5692753750.85569,418696131.434178,4923626513.05471,420013565.474565
1986,6246227222.49565,332059697.039593,4559403524.39548,304294284.186701,4183778054.62107,453057322.223056
1987,7631948105.22369,431547847.677929,5029761467.70975,356337167.367945,4644894699.64192,482668635.330933
1988,6311463146.76356,368032915.50313,4936368278.54278,294637454.135426,4211525301.46955,323692076.720582
1989,8952444971.86874,1520968058.08104,5961891996.09973,530742094.036806,4997478976.3353,605276861.496828
1990,12078531826.469101,2451148496.92983,7032320414.34105,584291678.677719,5408039957.09917,668295116.11032
1991,6791688239.53299,465729940.794044,5743799321.87019,404666779.741491,5473613139.42738,533144219.999696
1992,7775310007.20018,837813547.064527,3240255649.1912,283029802.630002,3115495130.41782,361526894.697474
1993,8957233927.17472,625441823.377266,7168657876.31475,430879136.856658,5838592110.3889,492430323.707793
1994,12079061276.56,887377578.249442,9442519940.27014,838436682.194479,8715697487.04997,1141263252.74493
1995,6590215449.59929,482131634.041931,4333424514.01212,392006425.539825,4195742016.29194,532258936.489034
1996,13647874794.0648,1009291481.99779,9051836342.18839,888567702.773224,8433842567.32166,1289839894.91847
1997,9734248295.85812,800705899.130778,7263725838.89445,690717659.148675,6407057426.68796,861676575.089209
1998,12131799809.3398,987455592.775857,6955639004.44032,743389026.046135,5342391052.43418,789008951.13903
1999,13692325520.2442,953702267.434254,9654352110.23724,805674719.429655,7768922613.67138,938321267.991293
2000,18459876941.1332,1240874316.9702,14769837318.7764,1184261958.1578,13034527356.02,1524041933.47585
2001,10168518497.386,638524798.77514,5108412326.86957,418742782.426836,4618723981.55788,507405058.469973
2002,10362562407.7961,680271011.053689,7663966630.08766,613675621.859906,6510787094.1115,649720897.182521
2003,8789545080.27918,688763710.963683,4943514694.83647,465199604.15914,4404230374.0234,530728929.703506
2004,6777879616.19036,472924279.054094,3456802397.85966,302103348.596193,2624720268.59054,276670135.688751
2005,4237803448.35198,333915786.653451,1451273912.97619,122158788.39399,1190245984.99773,129270837.012224
2006,11341172064.0415,840448482.305804,5816936764.5122,507239412.681703,4619758861.63795,514427320.427723
2007,3893455595.94873,280103441.547193,2906352536.31324,251462863.854281,2412247302.11333,273831890.816531
2008,7370232639.40549,483587783.55396,3778497501.05549,312000584.528163,3873364990.80233,475860070.360683
2009,6300467901.85303,429331909.76571,3818791363.08166,335158547.409204,3206493792.94621,359730529.125359
2010,6510136026.48798,379815225.136523,3980031820.11793,286883824.148466,2891127440.08616,265961121.312549
2011,10911673797.238,682398480.63575,5714218811.62385,454050452.149773,4624618341.92123,510237976.678788
2012,9914569528.81677,648268458.388165,7033243201.43315,582665975.04619,6353298542.60868,802983339.664081
2013,13055210019.4928,1099937712.25781,10718733892.0894,1039575612.29784,10233329852.8361,1322695174.26137
2014,11196677893.8638,958791206.462917,9324299288.02106,928205655.017847,8119770926.39252,944444241.345592
2015,15144324390.671,1305931793.92562,13416594071.4215,1279015704.59264,12471516592.0936,1693083867.28798
2016,7356834435.19593,697240063.332222,4553379419.05301,576503572.662054,3969980094.38044,758273590.462881
2017,12992264359.7481,1753199404.05226,11894860799.0799,1712423469.81906,9731151136.84164,1471381496.83719
2018,9078969836.69997,1052415321.0898,7296667334.03274,1022152015.54865,6274010134.41342,980074257.131474
2019,9669284962.03403,888990617.805039,7458629689.96913,826815871.003424,6794330077.72079,900258456.713943
2020,0,0,0,0,0,0
2021,14429580498.3744,1631972490.23957,13254969875.1778,1624255963.97855,10579351259.6756,1352540189.20719
2022,12358529981.594,1267101195.82799,10883739551.1814,1234825400.89331,9911704595.53483,1358370745.61463
